S500,UC600,XM90,XM70,XM30,XM32,PM014,Price,Width
1,0,0,0,1,1,0,1050.61,10.58
1,0,0,1,0,0,0,1200.85,14.15
1,0,1,0,0,0,0,1604.22,14.15
