uc600,BMUC600AAA0100011,986.56
s500,BMSY500AAA0100011,451.13
xm90,X13651701001,1153.09
xm70,x13651568010,749.72
xm30,X13651537010,299.74
xm32,X13651563010,299.74
pm014,X13651538-01,198.31
